exercise_slug,exercise_name,archetype,reminder_number,type,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
body-gratitude,Body Gratitude,intellectual,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN STRIPPER- BULGE & HALF NAKED/Club Planet G-Bulge/MSU-131110-PlanetG-SexyFiremanGogoDancer.mp4,MSU-131110-PlanetG-SexyFiremanGogoDancer.mp4,body-gratitude_reminder_intellectual_3.mp4,19.11,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_intellectual_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_intellectual_3.mp4
emotional-release,Emotional Release,bro,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-THEATRON BOGOTA/msu-230110-clubtheatronbogota-musclestripperflashinghardcock-1.mp4",msu-230110-clubtheatronbogota-musclestripperflashinghardcock-1.mp4,emotional-release_reminder_bro_1.mp4,20.9,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_bro_1.mp4
emotional-release,Emotional Release,bro,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/REAL CAM, NON SCRIPTED, FASHION SHOW/RUNWAY- UNDERWEAR & FASHION SHOW/MSU-130308-UniversalGear-UnderwearFashionShow-2.mp4",MSU-130308-UniversalGear-UnderwearFashionShow-2.mp4,emotional-release_reminder_bro_2.mp4,20.92,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_bro_2.mp4
emotional-release,Emotional Release,bro,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/REAL CAM, NON SCRIPTED, FASHION SHOW/FRATBOYS/MSU-120601-HotGuyDancingNakedForBuddy.mp4",MSU-120601-HotGuyDancingNakedForBuddy.mp4,emotional-release_reminder_bro_3.mp4,20.93,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_bro_3.mp4
emotional-release,Emotional Release,sergeant,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-CLUB CHOPERIA/MSU-141031-ClubChoperia-HardGoGoStrippers-5.mp4",MSU-141031-ClubChoperia-HardGoGoStrippers-5.mp4,emotional-release_reminder_sergeant_1.mp4,20.97,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_sergeant_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_sergeant_1.mp4
emotional-release,Emotional Release,sergeant,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-FERVECAO/MSU-181105-MuscledBrazilianStrippersShowHardCocksCompilation.mp4",MSU-181105-MuscledBrazilianStrippersShowHardCocksCompilation.mp4,emotional-release_reminder_sergeant_2.mp4,21.0,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_sergeant_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_sergeant_2.mp4
emotional-release,Emotional Release,sergeant,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-140528-TabooBar-SexyGogoPoleDancers-2.mp4,MSU-140528-TabooBar-SexyGogoPoleDancers-2.mp4,emotional-release_reminder_sergeant_3.mp4,21.01,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_sergeant_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_sergeant_3.mp4
emotional-release,Emotional Release,intellectual,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- HUSTLABALL- MIX/msu-210131-hustlaballsexypartycologne-livesexshow-2.mp4,msu-210131-hustlaballsexypartycologne-livesexshow-2.mp4,emotional-release_reminder_intellectual_1.mp4,18.98,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_intellectual_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_intellectual_1.mp4
emotional-release,Emotional Release,intellectual,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/msu-221030-circuitpartygogodancersflashinghardcock.mp4",msu-221030-circuitpartygogodancersflashinghardcock.mp4,emotional-release_reminder_intellectual_2.mp4,18.97,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_intellectual_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_intellectual_2.mp4
emotional-release,Emotional Release,intellectual,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-140406-RussianStr8StripperFullStripWithAudience.mp4,MSU-140406-RussianStr8StripperFullStripWithAudience.mp4,emotional-release_reminder_intellectual_3.mp4,21.06,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/emotional-release_reminder_intellectual_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/emotional-release_reminder_intellectual_3.mp4
centering-practice,Centering Practice,bro,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/msu-220410-musclestr8strippergettingsuckedbyaudience.mp4",msu-220410-musclestr8strippergettingsuckedbyaudience.mp4,centering-practice_reminder_bro_1.mp4,18.91,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_bro_1.mp4
centering-practice,Centering Practice,bro,2,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/FILM CUTSCENES/MSU-170608-Utopians-FrontalNudityScenes-3-ApartmentPartyScene.mp4,MSU-170608-Utopians-FrontalNudityScenes-3-ApartmentPartyScene.mp4,centering-practice_reminder_bro_2.mp4,21.13,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_bro_2.mp4
centering-practice,Centering Practice,bro,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN STRIPPER- BULGE & HALF NAKED/MSU-160511-SexyMexicanGoGoStripperBaresAll.mp4,MSU-160511-SexyMexicanGoGoStripperBaresAll.mp4,centering-practice_reminder_bro_3.mp4,18.86,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_bro_3.mp4
centering-practice,Centering Practice,sergeant,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/CARTOON & ANIMATION/msu-200831-aureesfm-gayanime-hotgrouporgy-2.mp4,msu-200831-aureesfm-gayanime-hotgrouporgy-2.mp4,centering-practice_reminder_sergeant_1.mp4,21.15,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_sergeant_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_sergeant_1.mp4
centering-practice,Centering Practice,sergeant,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/REAL CAM, NON SCRIPTED, FASHION SHOW/DOCUMENTARY/msu-210730-behindthescene-hunkymodelusingpenispump.mp4",msu-210730-behindthescene-hunkymodelusingpenispump.mp4,centering-practice_reminder_sergeant_2.mp4,18.82,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_sergeant_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_sergeant_2.mp4
centering-practice,Centering Practice,sergeant,3,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/SEXY STRIPPER FT MAYCON COLOMBO/MSU-160225-SexyGoGoDancerWithHardOn.mp4,MSU-160225-SexyGoGoDancerWithHardOn.mp4,centering-practice_reminder_sergeant_3.mp4,21.18,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/centering-practice_reminder_sergeant_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/centering-practice_reminder_sergeant_3.mp4
